USDA Food Name,GI DB Food name,Similarity Score
"Beef, roast, hash",lychee raw,0.7811979425273462
Corned beef hash,blackberry raw,0.7740196688331831
Beef and potatoes with cheese sauce,"Hamburger, McDonalds",0.7786290402047629
"Stewed, seasoned, ground beef with potatoes, Mexican style",Shortcrust pastry. raw,0.7769835572155608
"Beef and noodles, no sauce",Pizza. cheese and tomato. french bread,0.7808472231303223
Beef and macaroni with cheese sauce,Fine Poultry Sausages,0.782328386022778
Beef and noodles with tomato-based sauce,milk with chocolate,0.7763074933989855
Chili con carne with beans and macaroni,grapefruit raw,0.7718122461776648
Beef goulash with noodles,Milk Dried Whole,0.7757938704978582
Beef and noodles with gravy,Pilaf. rice with spinach,0.7794009962161191
Beef and noodles with cream or white sauce,"Chocolate Liquid Breakfast, Devondale Fast Start (Murray Goulburn Co-Operative Company Limited, Australia)",0.7788200266254615
Beef stroganoff with noodles,Pears. average. raw. weighed with core,0.7794484314998683
Beef and noodles with mushroom sauce,apricot raw,0.7730636726029503
Beef and noodles with soy-based sauce,Cream. sterilised. canned,0.7772467908792648
"Beef and rice, no sauce",Onion Soup With Potatoes,0.7798058755819859
Biryani with meat,"Soy & Linseed bread (Coles Supermarkets Pty Ltd, Australia)",0.7824627129922976
Beef and rice with tomato-based sauce,"Mango, raw (Chin-Hwang Mango)",0.7776451611606254
Porcupine balls with tomato-based sauce,wholemeal-cookie,0.7731004485446091
Chili con carne with beans and rice,Turkey Breast. Stewed,0.7781339207877856
Beef and rice with gravy,Bramley Apple Pie (Tesco),0.7733145051854031
Beef and rice with cream sauce,"Olives, kalamata, with stone",0.780349266684189
Beef and rice with mushroom sauce,Bread Gibson Brown,0.7806312142683345
Porcupine balls with mushroom sauce,Fennel seed,0.7786326054131762
Beef and rice with soy-based sauce,Parmesan,0.7810809403188178
Beef and rice with cheese sauce,gingerbread (nuremburg),0.7736427871916849
Meat loaf made with beef,Bread. wheat with rye,0.7734640931055231
"Meat loaf made with beef, with tomato-based sauce",Tesco seafood risotto,0.7814578973284618
"Beef stew with potatoes, Puerto Rican style",Curds Spread With Sweet Capsicum,0.7810490750996322
"Stewed corned beef, Puerto Rican style",Peanuts Roasted,0.7728451687632268
Meat loaf made with ham,raisins,0.7799484598520683
Ham and noodles with cream or white sauce,Juice Apple,0.7751121738010127
Ham and rice with mushroom sauce,Ketchup Tomato,0.7767797068174843
Ham or pork with stuffing,"Soy Joy Fruit & Soy Bar®, Apple (Otsuka Pharmaceutical Co Ltd, Tokyo, Japan)",0.7735751329076734
Ham croquette,Chicken korma,0.777796383729358
Pork and rice with tomato-based sauce,Elderberry. juice. concentrated. sugar not added,0.7782451775980875
Sausage and rice with tomato-based sauce,"Potato, novel clone, selection 1 (CV92056-4, grown in Ontario; harvested Oct. 2009), unpeeled, cut into 2.5-3 cm cubes, boiled in salted water for 15 min Canada",0.7788748629792156
Sausage and rice with mushroom sauce,"Dates, Khalas, Tamer stage (Al Saad Date factory, Al Ain, UAE)",0.7781626865166511
Sausage and rice with cheese sauce,Lentil soup,0.7747355503387369
Sausage and noodles with cream or white sauce,Curry. chick pea dahl and spinach. with vegetable oil,0.7754327545745356
"Ham and noodles, no sauce","Bangladeshi rice variety BR2, parboiled (12% amylose), boiled in salted water for 20.5 min",0.7795252223366808
"Ham or pork and rice, no sauce","Sustain™ bar (Kellogg's, Australia)",0.7744160142603337
Ham or pork and potatoes with gravy,"Ice cream, premium, French vanilla, 16% fat (Sara Lee, Australia)",0.7756360914066542
Ham or pork and potatoes with cheese sauce,Rye bread (80% rye flour + 20% oat ß-glucan concentrate)20,0.7859640967125858
"Stewed pig's feet, Puerto Rican style",Quark,0.7731679689464632
"Pork stew, with potatoes, tomato-based sauce, Mexican style",liver sausage with onions,0.7723185552786526
Lamb or mutton loaf,Yakult (Yakult Italia),0.7788858626476673
Lamb or mutton and potatoes with gravy,Frosties,0.7759619935180819
Lamb or mutton and potatoes with tomato-based sauce,Cabbage Chinese Boiled Without Salt,0.776180888713974
Meat loaf made with venison/deer,"fish with vegetables, semifat",0.7795009360334342
Venison or deer and noodles with cream or white sauce,quark with herbs spiced,0.7771257749595275
Chicken or turkey and potatoes with gravy,hoi sin sauce (Uncle Bens),0.784821590398005
"Chicken or turkey and noodles, no sauce",Biscuit Muesli,0.7782103898066159
Chicken or turkey and noodles with gravy,Shrimp Crackers,0.7792003579177238
Chicken or turkey and noodles with mushroom sauce,Yeast Buns Filled With Jam Boiled In Steam With Curds Sprinkle,0.7760744082741743
Chicken or turkey and noodles with cream or white sauce,"Long grain, white, pre-cooked, microwaved 2 min (Express Rice, plain, Uncle Ben's, Masterfoods, UK)",0.7758909265828661
Chicken or turkey and noodles with cheese sauce,"fish with vegetables, semifat",0.7817149247923472
Chicken or turkey tetrazzini,"Parboiled, long-grain rice (Harlem Foods AS, Oslo) 11",0.774833918165889
Chicken or turkey and noodles with tomato-based sauce,"Star Pastina, white, boiled 5 min (Lancia-Bravo Foods Ltd., Canada)",0.7733303208589382
Chicken or turkey and noodles with soy-based sauce,Bacon Rasher With Rind Prepared,0.7762496492033472
"Chicken or turkey and rice, no sauce","Manuka honey, M75-11 (East Cape, NZ) New",0.7776870100153837
Biryani with chicken,Coffee Creamer Liquid Balance,0.776284472910969
Chicken or turkey and rice with cream sauce,Ravioli w/cheese,0.7724248954721787
Chicken or turkey and rice with mushroom sauce,"Rice, white, gruel, simmered over low heat with water for 45 min South",0.7785254759496345
Chicken or turkey and rice with tomato-based sauce,"Roti, made from Pirsabaq 2013 wheat (Triticum aesitivum L.) flour",0.7795286126976341
Chicken or turkey and rice with soy-based sauce,"Probiotic drink, original",0.7747153198575735
Chicken or turkey with dumplings,asparagus boiled,0.7777012092362536
Chicken or turkey with stuffing,coconut pastry,0.7788328110397117
"Chicken or turkey cake, patty, or croquette",Doritos corn chips (Walkers),0.7785016407619172
Chicken or turkey souffle,Liquorice Dutch Type,0.7706005935157192
Meat loaf made with chicken or turkey,"fish with vegetables, semifat",0.7765995659247504
"Meat loaf made with chicken or turkey, with tomato-based sauce",Go Ahead Fruit-ins - Apricot (McVities),0.7777147397902999
"Clams, stuffed","Crispix™ (Kellogg's Inc., Canada)29 Canada",0.7766419198233869
Codfish ball or cake,Coffee cream 10 % fat,0.7748615748094624
"Crab, cake","Carrots, peeled, boiled, ground to smooth paste",0.774186212217131
"Fish, cake or patty",Wienerschnitzel,0.7766672484785097
"Fish, salmon cake or patty",Beef curry. chilled/frozen. reheated. with rice,0.7804783405602335
Salmon loaf,"Raspberry 100% Fruit Spread, Cottees™ brand (Cadbury Schweppes, Australia)",0.7717504701374859
Scallops and noodles with cheese sauce,Hering,0.781303881965246
"Shrimp and noodles, no sauce",Apples. cooking. baked with sugar. weighed with skin,0.7815182540144916
Shrimp and noodles with gravy,"Parsnips, boiled in water with 2 g salt",0.7786896898398792
Shrimp and noodles with mushroom sauce,Apples. eating. Granny Smith. raw,0.777084173329216
Shrimp and noodles with cream or white sauce,"Hash Browns, crispy shredded potato cakes, frozen, baked at 230oC for 17 min, Birds Eye™",0.773363095895869
Shrimp and noodles with soy-based sauce,MODI-Fast (made-up),0.7812208008260845
Shrimp and noodles with cheese sauce,"Cocoavia™ Crispy Chocolate bar (M&M/Mars, USA)",0.7765151806645607
Shrimp and noodles with tomato sauce,Tesco Prepack Salad,0.7769796397152293
Tuna loaf,Coffee. infusion. average. with single cream,0.7763321742764911
Tuna cake or patty,"Sweet potato (Ipomoea batatas), Yellow Belly cultivar, skin on, roasted on pre-heated charcoal for 45 min",0.7814816411225378
Clam cake or patty,Rocky Biscuit (Red),0.7811717580497025
Oyster fritter,Modifast Average,0.7689882751996682
Flounder with crab stuffing,Salad. potato. with reduced calorie dressing. retail,0.7829696745625615
"Lobster with bread stuffing, baked","Wheat, cracked kernels, (bulgur), raw",0.7760199638273537
Mackerel cake or patty,Cabbage Savoy. Boiled,0.7732848178460624
"Shrimp, cake or patty",kiwi fruit,0.7745411537675477
Shrimp with crab stuffing,Bourbon biscuits (Pennywise),0.7803049145861167
Fish cake (Kamaboko) tempura,sharwoods hoi-sin stir fry sauce,0.7787389927760753
Imitation crab meat,mc sundae with waffle (mc donalds,0.7787005359024459
Tuna noodle casserole with cream or white sauce,75 g Glucose + 4.24 g salt,0.7794507004618085
Tuna noodle casserole with mushroom sauce,"Bearnaise sauce, powder",0.7770316957244724
Tuna and rice with mushroom sauce,popcorn,0.7806380710378208
Fish and rice with tomato-based sauce,Curds Spread With Sweet Capsicum,0.7802256182663647
Fish and rice with cream sauce,"Avocado, raw",0.7838455471407968
Fish and rice with mushroom sauce,New potatoes. in skins. boiled in salted water,0.7777767655291834
Fish and noodles with mushroom sauce,Broccoli. purple sprouting. boiled in salted water,0.7785771464200318
Shellfish and noodles with tomato-based sauce,"Wheat, cracked kernels, (bulgur), raw",0.7779585034929375
"Meat loaf, NS as to type of meat",filet of fish fried,0.7683793251481229
"Meatballs, with breading, NS as to type of meat, with gravy",McDonalds Strawberry Milkshake/100ml,0.7745398244160577
Meat loaf made with beef and pork,"Crispix™ (Kellogg's Inc., Canada)29 Canada",0.7738792326560691
"Meat loaf made with beef, veal and pork",potato-carrot-turnip stew,0.7758944230536644
"Meat loaf made with beef and pork, with tomato-based sauce",Chips. fine cut. frozen. fried in blended oil,0.7764111822958508
"Hash, NS as to type of meat","Karicare from Birth Infant formula, containing 83% lactose, 17% maltodextrins (Nutricia Australia Pty Ltd) (40.8 g powder + 271.7 g water)",0.7732275967758192
"Vienna sausages stewed with potatoes, Puerto Rican style",gherkin,0.7810195572603147
Liver dumpling,"Premium long grain, white (SunRice brand, Rice Growers Co- Op., Australia)",0.7777004418892336
"Stewed, seasoned, ground beef and pork with potatoes, Mexican style",Chicken curry. without bone,0.7739213666810278
"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce","Mango, raw (Chin-Hwang Mango)",0.7768210471929273
"Beef, potatoes, and vegetables, excluding carrots, broccoli, and dark-green leafy; no sauce",Cream. sterilised. canned,0.779869599860322
"Corned beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",Dressing mix w/garlic,0.7794138377670232
"Corned beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce","Cornflakes (Kellogg's, Australia)13, tested in younger adults (19-32 y)",0.7766240246498218
"Beef stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",Satsumas,0.7817950220247885
"Beef stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",chocolate cake,0.7747559735350327
"Beef stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; gravy","Cream, soured, 9%",0.7741852185095515
"Beef stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; gravy","Boiled potatoes with meat, dish",0.7817301575233665
Shepherd's pie,"Bran Chex™ (Nabisco Brands Ltd., Toronto, Canada) 29 Canada",0.7769445210781398
"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",Marzipane,0.7746049843875369
"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",Noodles. egg. raw,0.7795663675816025
"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; cream sauce, white sauce, or mushroom sauce",Processed cheese. slices. reduced fat,0.7732202688854396
"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; cream sauce, white sauce, or mushroom sauce",Meat extract. Bovril,0.7802249311748655
"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce","Carrot cake, prepared with wheat flour and coconut flour",0.7742931726185011
"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",Currant. black. jam,0.7848237412243523
"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; cheese sauce",Asda Chicken Chow Mein Ready Meal,0.7807559227360894
"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",celeriac boiled,0.7787424863978251
"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce","lettuce, romaine",0.7736196799833241
"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce",Asda Soft Grain Bread,0.7805194364149657
"Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce","Bran Chex™ (Nabisco Brands Ltd., Toronto, Canada) 29 Canada",0.7764825005509537
"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",Vegetable pate,0.776839058868197
Beef chow mein or chop suey with noodles,"Apple muffin, made rolled oats and without sugar",0.7821095895285164
"Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce",Fat spread (60% fat). polyunsaturated,0.7744247506397167
"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce",Curds Spread With Sweet Capsicum,0.7789819846676542
"Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce","Sustain™ bar (Kellogg's, Australia)",0.7799298885504383
"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",Snack bar with 3g ß-glucan from barley concentrate,0.7763181791596866
"Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; mushroom sauce",strawberry raw,0.7866182170242149
"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; mushroom sauce",Flaxseeds,0.7805326003960866
"Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy","Soy & Linseed bread (Coles Supermarkets Pty Ltd, Australia)",0.775598591745271
"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",Banana bread,0.7802388349967639
"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",Peanutbutter Sauce,0.7799080837078508
"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",Minced Beef Prepared Without Egg,0.7738143623102747
"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",Taramasalata,0.7786401534103766
"Beef, rice, and vegetables excluding carrots, broccoli, and/or dark-green leafy; tomato-based sauce",Tesco Red Onion,0.7785284955050187
Stuffed cabbage rolls with beef and rice,Curry. chick pea dahl and spinach. with vegetable oil,0.7775351732279946
Stuffed grape leaves with beef and rice,Lettuce. iceberg (incl. crisphead types). raw,0.7791842206927156
"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; mushroom sauce",Duck Liver,0.7746264980005396
"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; mushroom sauce",Dressing mix w/garlic,0.7769285980876636
"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",Buttermilk With Fruit,0.7671847847924536
"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",Philadelphia,0.7762491454586389
"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",Terrys Chocolate Orange,0.7757706297930754
"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce",Margarine. soft. not polyunsaturated,0.7781559719384604
"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce","Wholemeal Country Grain bread, Bakers Delight™ (Bakers Delight Holdings, Australia)",0.7714050797104346
"Pot pie, beef",Mixed beans in spicy pepper (Sainsbury's),0.7776780392175258
"Stuffed green pepper, Puerto Rican style","Chicken, meat, rolled, with herbs",0.7712661850626803
Ham pot pie,Bilberries (Blueberries),0.7717574915371209
"Ham or pork, noodles and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",salsify steamed,0.7776433334164609
"Ham or pork, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",Curds Spread With Sweet Capsicum,0.7728788480635292
"Ham or pork, noodles and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",potato casserol,0.7762091397024095
"Pork, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce","Véritable Petit Beurre (LU, France)",0.7715639310506502
"Ham or pork, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce","Just Right™ (Kellogg's, Australia)",0.7794225173251779
"Sausage, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",Yeast. baker`s. compressed,0.7740766589387909
"Sausage, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",Egg Chicken,0.7852335127507524
"Pork, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce","Clover honey, raw",0.7770633060000479
"Pork, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",cherry raw,0.7769194542857953
"Sausage, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",Dia Light Beer 5%,0.7762263776913393
"Sausage, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",hoi sin sauce (Uncle Bens),0.7753038469991255
"Pork, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy","Gluten-free white bread, unsliced (gluten-free wheat starch)",0.7808325622599498
"Pork, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",Flaxseeds,0.7849336753221139
"Pork, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce","Noodles, sau tao chicken-flavored Sichuan spicy noodles (wheat flour), boiled 3 min",0.7835863222051781
Pork chow mein or chop suey with noodles,cauliflower salad with vinegar marinade,0.779447292869289
"Pork, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce","Gluten-free white bread, unsliced (gluten-free wheat starch)",0.7729917749791763
"Pork, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce",Tesco seafood risotto,0.7818322254207212
"Pork, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",Laughing cow cheese spread (light),0.7815002336536494
"Pork, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce","Jevity™ HiCal, enteral nutritional supplement (Abbott Nutrition International)",0.7758601050664216
"Ham, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce","Shortbread (Arnotts, Australia)",0.7756879641544389
"Ham, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce","Potatoes, raw",0.7829529894788699
Sweet and sour pork with rice,"Peak Fuel Summit bar, Peanut Brownie (Peak Fuel, Hamner Springs, New Zealand)13 New",0.7802768328323111
Shepherd's pie with lamb,"Multigrain loaf, containing wheat flour and coconut flour",0.7793983334011876
"Lamb or mutton stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",cucumber raw,0.7798121906669107
"Lamb or mutton, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",Sparkling Wine,0.7765397360635882
"Lamb or mutton, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",Turkey,0.7729435068368884
"Lamb or mutton, rice, and vegetables  including carrots, broccoli, and/or dark-green leafy; gravy",mc sundae with waffle (mc donalds,0.7788544607528504
"Lamb or mutton stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; gravy","Tuo Zaafi, prepared from unfermented maize flour stirred in hot water to form a pulp, eaten with 110 g light soup and salmon",0.7738424646166931
Stuffed grape leaves with lamb and rice,"Lentil, Imigreen, washed, brought to boil in water (1:2.5 seed:water ratio) at 500°C (~11 min), once boiling was achieved temperature reduced to 280°C and continued to boil until soft (Saskatchewan Pulse Growers, Canada)",0.7802491751388854
"Lamb or mutton stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",Instant potato powder. made up with water,0.7795304106584782
"Lamb or mutton stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",grapefruit raw,0.7767481171501294
"Veal stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",Peanutbutter Sauce,0.778729857873174
Rabbit stew with potatoes and vegetables,Stock cubes (basil) Knorr,0.7768092495008814
"Venison or deer stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce","Probiotic drink, original",0.7765555768419825
"Venison or deer stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",Onions Boiled Without Salt,0.7772217619822667
"Venison or deer, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",Avocado. fresh. raw,0.7774780689213818
"Venison or deer, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy","Roti, made from Pirsabaq 2013 wheat (Triticum aesitivum L.) flour",0.7818037411788503
"Venison or deer, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",New potatoes. canned. re-heated. drained,0.7794715679851922
"Chicken or turkey, potatoes, corn, and cheese, with gravy","Bread, increased GI variant (sugar-to-flour ratio: 0.24) (Bakery School, Herk-de-Stad, Belgium)",0.7774179128431176
"Chicken or turkey, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",Lemon peel. raw,0.7750725393970239
"Chicken or turkey, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",Doritos corn chips (Walkers),0.7795908626054044
"Chicken or turkey, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy","Durum wheat, precooked in pouch, reheated in microwave, Ebly Express (Ebly, France)",0.7796684094511795
"Chicken or turkey, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",Prunes. weighed with stones,0.7764551740646359
"Chicken or turkey, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; cream sauce, white sauce, or mushroom sauce",pancakes,0.7759144288032777
"Chicken or turkey, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; cream sauce, white sauce, or mushroom sauce",Lemon peel. raw,0.7820155784291842
"Chicken or turkey, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; cheese sauce","Corn tortilla, nixtamal process",0.7791161321494837
"Chicken or turkey, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",Chips. fine cut. frozen. fried in blended oil,0.7750440430887295
"Chicken or turkey, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",Custard. made up with skimmed milk,0.779609256276708
"Chicken or turkey, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",Curds Spread With Sweet Capsicum,0.7741573676507799
"Chicken or turkey stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; gravy","Igbangwu, corn pudding",0.7835811626560135
"Chicken or turkey stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; gravy","celery root, raw",0.7785841221897727
"Chicken or turkey stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce","Kinder Softy nocciola (Praline with hazelnut cream) (Kinder, Ferrero, Italy)",0.7764963746467067
"Chicken or turkey stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; tomato- based sauce",Baby fruit juice. fortified with vitamin C,0.7810450136573241
"Chicken or turkey, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",cherry ice cream (langnese),0.7725002508104051
"Chicken or turkey, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",Go Ahead Fruit-ins - Apricot (McVities),0.782526034095055
"Chicken or turkey, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",Melon. cantaloup. raw,0.7763367406960711
"Chicken or turkey, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy","Soy milk, Vitasoy® So Milky Regular (National Foods Ltd, Australia)",0.7779529001251767
"Chicken or turkey, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; cream sauce, white sauce, or mushroom sauce",Spinach. raw,0.7776766419236245
"Chicken or turkey, noodles, and vegetables excluding carrots, broccoli, and/or dark-green leafy; cream sauce, white sauce, or mushroom sauce","Pancakes, prepared with wheat flour and coconut flour",0.7733986559005059
"Chicken or turkey, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",Peppers. capsicum. chilli. red. raw,0.7762484345557398
"Chicken or turkey, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce","Fried plantain (Musa paradisiaca) and beans (Phaseolus vulgaris), cooked for 60 min meal8",0.7775138115956528
Chicken or turkey chow mein or chop suey with noodles,"Malbit CH (99% maltitol) (Cerestar, Vilvoorde, Belgium)43",0.7799397316296053
"Chicken or turkey, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; cheese sauce",Instant chocolate cake,0.7836630368783396
"Chicken or turkey, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",veal tongue boiled,0.7788947132516041
"Chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",Herring. pickled,0.7765634060681358
"Chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce","Fried vermicelli (Swayweih/Ballaleet), cooked with sugar, served with Omani coffee (130 mL, 225 mg caffeine)",0.7808335445997722
"Chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy","Dressing, with herbs",0.7720036216587454
"Chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",Honey,0.7785253488052672
"Chicken or turkey, rice, corn, and cheese, with gravy",Build-up powder. soup,0.7804367958631477
"Chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce","Sweet potato (Ipomoea batatas), boiled",0.7717706293439248
"Chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce","Yoghurt, NS",0.7803709099204865
"Chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; cream sauce, white sauce, or mushroom sauce",Yakult (Yakult Italia),0.7782093268288157
"Chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; cream sauce, white sauce, or mushroom sauce",Jam Without Sugar,0.7773032816324396
"Chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; cheese sauce","Oats, rolled, uncooked (Lowan's Whole Foods, Box Hill, Australia)",0.7781568034755907
"Chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce","Tomato juice, no added sugar (Campbell's Soup Company, Camden, USA)",0.7771326809728759
"Chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",Coca Cola,0.7778005809379019
"Chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",noodle salad with mixed vegetables and mayo,0.7787700773286089
"Pot pie, chicken",Greek Potatoes Cooked In Tomato Sauce,0.7788497069262504
"Chicken or turkey, stuffing, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",quark with fruit 40%,0.773845188987717
"Chicken or turkey,stuffing, and vegetables excluding carrots, broccoli, and dark green leafy; no sauce","Porridge, made from Wel Penela (Cardiospermum halicacabum) green leaf extract, coconut milk, and rice Sri",0.776506308339002
"Chicken or turkey, stuffing, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy","Roti, made from Pirsabaq 2013 wheat (Triticum aesitivum L.) flour",0.7773893277837021
"Chicken or turkey, stuffing, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",Prunes,0.7785501889950514
"Chicken or turkey, dumplings, and vegetables including carrots, broccoli, and/or dark green leafy; gravy","Sport beverage based on hydrolyzed starch (high molecular weight carbohydrate), orange flavor (Vitargo, Swecarb AB, Kalmar, Sweden)",0.7836269303864833
"Chicken or turkey, dumplings, and vegetables excluding carrots, broccoli, and dark green leafy; gravy",Pancakes stuffed with fish,0.7720782080363813
"Chicken fricassee, Puerto Rican style",Sugar White,0.7724153614277032
Paella with seafood,"Parsnips, boiled in water with 2 g salt",0.7716284962054649
